DayType;DepartureTime
Wrk;04:47
Wrk;04:57
Wrk;05:07
Wrk;05:17
Wrk;05:27
Wrk;05:37
Wrk;05:44
Wrk;05:51
Wrk;05:56
Wrk;06:01
Wrk;06:05
Wrk;06:10
Wrk;06:14
Wrk;06:18
Wrk;06:22
Wrk;06:26
Wrk;06:30
Wrk;06:33
Wrk;06:37
Wrk;06:40
Wrk;06:43
Wrk;06:47
Wrk;06:49
Wrk;06:52
Wrk;06:54
Wrk;06:57
Wrk;06:59
Wrk;07:01
Wrk;07:01
Wrk;07:04
Wrk;07:06
Wrk;07:08
Wrk;07:11
Wrk;07:13
Wrk;07:15
Wrk;07:18
Wrk;07:20
Wrk;07:22
Wrk;07:25
Wrk;07:27
Wrk;07:29
Wrk;07:32
Wrk;07:34
Wrk;07:36
Wrk;07:39
Wrk;07:41
Wrk;07:43
Wrk;07:46
Wrk;07:48
Wrk;07:50
Wrk;07:53
Wrk;07:55
Wrk;07:57
Wrk;08:00
Wrk;08:02
Wrk;08:04
Wrk;08:07
Wrk;08:09
Wrk;08:11
Wrk;08:14
Wrk;08:16
Wrk;08:18
Wrk;08:21
Wrk;08:23
Wrk;08:25
Wrk;08:28
Wrk;08:30
Wrk;08:32
Wrk;08:35
Wrk;08:37
Wrk;08:39
Wrk;08:42
Wrk;08:44
Wrk;08:46
Wrk;08:49
Wrk;08:51
Wrk;08:54
Wrk;08:56
Wrk;08:59
Wrk;09:02
Wrk;09:05
Wrk;09:08
Wrk;09:11
Wrk;09:14
Wrk;09:17
Wrk;09:20
Wrk;09:24
Wrk;09:27
Wrk;09:31
Wrk;09:35
Wrk;09:39
Wrk;09:43
Wrk;09:47
Wrk;09:51
Wrk;09:56
Wrk;10:00
Wrk;10:05
Wrk;10:10
Wrk;10:15
Wrk;10:20
Wrk;10:25
Wrk;10:30
Wrk;10:35
Wrk;10:40
Wrk;10:45
Wrk;10:50
Wrk;10:55
Wrk;11:00
Wrk;11:05
Wrk;11:10
Wrk;11:15
Wrk;11:20
Wrk;11:25
Wrk;11:30
Wrk;11:35
Wrk;11:40
Wrk;11:45
Wrk;11:50
Wrk;11:55
Wrk;12:00
Wrk;12:05
